,embedding_x,embedding_y
0,8.065233,-6.19695
1,10.827569,-2.5503325
2,8.319387,-5.599104
3,-2.0078514,12.433291
4,6.869921,26.271196
5,9.439827,-3.031128
6,7.149392,-6.6899896
7,-7.493005,17.591028
8,8.149236,-5.987409
9,18.988743,-5.9968534
10,16.308336,18.993622
11,-2.4451563,13.505909
12,6.0171366,-7.255598
13,22.970402,10.141928
14,8.34209,-5.9283957
15,6.1263857,-7.147131
16,18.015656,19.377314
17,-2.6558604,13.413496
18,23.378496,1.1532071
19,6.5535164,-7.102241
20,6.8560634,-6.8951693
21,-3.8529265,9.00342
22,8.507733,-4.2566104
23,1.6808923,4.5330286
24,7.0960484,-6.730699
25,23.395483,1.1677353
26,-2.0909178,1.330004
27,26.048897,13.480874
28,2.4938178,1.2145939
29,6.8948817,4.882667
30,7.6779814,-7.98514
31,1.7848998,1.9923983
32,25.686321,12.802435
33,16.42258,17.708784
34,-1.642305,12.059746
35,1.7699491,4.388451
36,6.105297,-7.160825
37,1.9782366,3.781199
38,6.976868,-6.857943
39,-2.2763004,2.1474543
40,1.7334199,5.167505
41,9.738454,-1.802544
42,9.234466,-8.281013
43,22.329575,10.393638
44,25.07175,13.50541
45,25.154005,13.638467
46,1.6299354,8.715646
47,6.0934715,-7.173276
48,1.7612848,1.7940303
49,2.3234842,0.20689286
50,25.93588,13.558992
51,-6.7494326,17.206875
52,-8.159655,7.4453278
53,-7.2355,-9.914229
54,8.603271,-1.3786798
55,10.744541,20.48283
56,-6.8149786,4.0966935
57,-0.7999062,2.9847932
58,-7.209549,-9.94011
59,22.98819,10.120568
60,9.488225,19.328472
61,18.946255,-6.0381713
62,-2.271633,21.50916
63,18.39658,18.978313
64,-7.2557178,14.285483
65,3.753552,23.10052
66,6.0926337,-7.1731396
67,1.9944074,1.2160999
68,6.1484656,-7.1719546
69,8.950734,-6.5798783
70,7.164778,-6.679369
71,8.273634,-8.980025
72,23.342907,1.1201848
73,10.754573,20.788595
74,23.378765,1.1551913
75,-2.0575204,21.288881
76,10.827178,-2.4393647
77,6.505062,-7.1101146
78,9.648238,-9.262668
79,24.746967,13.607295
80,23.35921,1.1368324
81,8.897391,-5.7110386
82,10.808014,20.753727
83,6.180232,5.839212
84,22.575089,10.70599
85,8.484811,-1.6037334
86,-11.489686,14.93654
87,26.138428,13.322213
88,-7.1947756,-9.954892
89,8.814955,-3.8494308
90,-2.3397827,1.6159621
91,-1.6660401,12.085564
92,2.0761743,5.3004165
93,16.369558,12.939814
94,9.502835,-3.0490468
95,16.427624,17.721506
96,6.1486254,-7.1832657
97,7.4381824,-8.11694
98,26.010181,13.49028
99,1.8143705,-0.6364796
100,8.2815075,-1.9693645
101,11.90569,21.96523
102,3.724735,23.073248
103,10.821104,-3.202602
104,-7.257213,-9.892403
105,-7.593326,18.121246
106,10.671801,-2.4066043
107,8.577702,-2.234386
108,16.4461,13.053405
109,23.374344,1.1106008
110,9.307621,-8.167664
111,16.58915,13.396704
112,-6.8046174,4.0786743
113,23.378424,1.1564938
114,-11.610508,14.817179
115,8.158793,-5.867624
116,1.7554042,5.176143
117,18.738827,18.410797
118,6.622879,-7.1085415
119,9.038152,-8.654798
120,7.369652,-6.513551
121,7.739124,-2.9258277
122,-7.6659408,15.8091345
123,7.336072,-2.9899354
124,-1.5751799,1.571533
125,8.27411,-8.978468
126,9.393253,-3.04464
127,23.379154,1.1565825
128,-1.2393715,3.034465
129,-0.8121672,2.996035
130,18.382643,19.008694
131,8.1067915,-3.7409654
132,3.3777432,12.580131
133,-3.6364486,-1.8214386
134,-4.129792,-2.5435724
135,22.197289,10.223847
136,8.088442,-3.7138155
137,16.45893,12.996816
138,10.755137,20.494589
139,2.1846564,3.2960722
140,16.773542,12.945706
141,22.242544,10.263869
142,8.642517,-1.796135
143,9.4525175,-3.1016676
144,20.043442,-5.51399
145,8.382973,-1.7391168
146,10.857443,-2.5688171
147,8.077058,-3.6888459
148,-3.7672641,-2.282963
149,1.9993987,3.753928
150,1.8934609,3.9175878
151,20.1822,6.109117
152,-2.520193,13.51525
153,16.314926,18.963514
154,10.560012,-2.0821774
155,16.269415,14.913051
156,6.1530676,5.85657
157,9.991754,0.22000554
158,17.186657,11.646417
159,16.453333,13.059304
160,16.724976,13.000913
161,-1.4915408,2.63879
162,8.410705,-4.320031
163,2.2100751,3.380446
164,-7.207427,-9.942187
165,22.209404,10.239389
166,-7.6096,18.050108
167,12.88109,13.163356
168,-8.267339,-4.037436
169,10.932091,-3.1210136
170,6.7786703,-6.9580207
171,-8.197412,7.4770894
172,6.9347878,-7.41156
173,2.8351874,0.533085
174,10.662671,-2.1556802
175,10.994715,-2.9539053
176,10.025283,0.21565588
177,-5.278957,6.016873
178,16.420717,17.697245
179,18.754318,-6.19903
180,8.120363,-5.96576
181,-7.6461577,18.347912
182,7.3541756,-6.5239863
183,9.296875,-4.4546695
184,10.045957,-3.1971514
185,22.6468,13.333286
186,-7.3015428,7.1683116
187,-2.0672433,1.4459554
188,6.106851,-7.160859
189,-7.4354424,7.278482
190,10.679587,-2.219643
191,7.662647,-7.9011054
192,-7.892008,14.770204
193,23.340733,1.1178247
194,6.736691,-6.9038787
195,-7.359086,7.2199783
196,22.472036,10.867383
197,18.735281,18.42036
198,23.356138,1.1441643
199,22.24907,10.2941885
200,-2.1541858,2.453509
201,23.378956,1.1558089
202,26.102604,13.383418
203,9.303008,-8.341792
204,25.84587,12.769309
205,9.435742,-3.0194097
206,18.738644,18.417505
207,10.898428,-2.5029802
208,-7.935188,14.169053
209,26.102694,13.381822
210,10.243109,0.07177989
211,9.023052,-5.536458
212,-7.467512,14.710659
213,-2.1201448,12.337309
214,9.894112,12.479131
215,11.871728,21.99631
216,-3.6258101,-1.3133558
217,8.333429,-5.349393
218,9.722164,7.934592
